2020-05-04 09:40:25,799 charges_calc.py:73  WARNING Invalid end date of 2017-03-22 00:00:00 found in record RNT001
2020-05-04 09:40:26,095 charges_calc.py:73  WARNING Invalid end date of 2017-11-03 00:00:00 found in record RNT512
2020-05-04 09:40:26,095 charges_calc.py:82  WARNING Value Error on record RNT512, value {'product_code': 'PRD29', 'units_rented': 4, 'price_per_day': 8, 'rental_start': '11/15/17', 'rental_end': '11/3/17', 'total_days': -12, 'total_price': -96} square of the total price
2020-05-04 09:40:26,095 charges_calc.py:73  WARNING Invalid end date of 2018-07-06 00:00:00 found in record RNT513
2020-05-04 09:40:26,096 charges_calc.py:82  WARNING Value Error on record RNT513, value {'product_code': 'PRD2', 'units_rented': 6, 'price_per_day': 25, 'rental_start': '12/22/18', 'rental_end': '7/6/18', 'total_days': -169, 'total_price': -4225} square of the total price
2020-05-04 09:40:26,096 charges_calc.py:73  WARNING Invalid end date of 2017-09-25 00:00:00 found in record RNT514
2020-05-04 09:40:26,097 charges_calc.py:82  WARNING Value Error on record RNT514, value {'product_code': 'PRD23', 'units_rented': 9, 'price_per_day': 34, 'rental_start': '8/18/18', 'rental_end': '9/25/17', 'total_days': -327, 'total_price': -11118} square of the total price
2020-05-04 09:40:26,098 charges_calc.py:73  WARNING Invalid end date of 2017-09-18 00:00:00 found in record RNT515
2020-05-04 09:40:26,099 charges_calc.py:82  WARNING Value Error on record RNT515, value {'product_code': 'PRD24', 'units_rented': 8, 'price_per_day': 18, 'rental_start': '4/22/18', 'rental_end': '9/18/17', 'total_days': -216, 'total_price': -3888} square of the total price
2020-05-04 09:40:26,099 charges_calc.py:73  WARNING Invalid end date of 2017-04-15 00:00:00 found in record RNT516
2020-05-04 09:40:26,100 charges_calc.py:82  WARNING Value Error on record RNT516, value {'product_code': 'PRD91', 'units_rented': 3, 'price_per_day': 28, 'rental_start': '3/15/18', 'rental_end': '4/15/17', 'total_days': -334, 'total_price': -9352} square of the total price
2020-05-04 09:40:26,100 charges_calc.py:73  WARNING Invalid end date of 2016-12-20 00:00:00 found in record RNT517
2020-05-04 09:40:26,101 charges_calc.py:82  WARNING Value Error on record RNT517, value {'product_code': 'PRD74', 'units_rented': 5, 'price_per_day': 14, 'rental_start': '8/17/18', 'rental_end': '12/20/16', 'total_days': -605, 'total_price': -8470} square of the total price
2020-05-04 09:40:26,101 charges_calc.py:73  WARNING Invalid end date of 2016-09-29 00:00:00 found in record RNT518
2020-05-04 09:40:26,102 charges_calc.py:82  WARNING Value Error on record RNT518, value {'product_code': 'PRD41', 'units_rented': 2, 'price_per_day': 25, 'rental_start': '6/10/18', 'rental_end': '9/29/16', 'total_days': -619, 'total_price': -15475} square of the total price
2020-05-04 09:40:26,102 charges_calc.py:73  WARNING Invalid end date of 2017-04-10 00:00:00 found in record RNT520
2020-05-04 09:40:26,102 charges_calc.py:82  WARNING Value Error on record RNT520, value {'product_code': 'PRD96', 'units_rented': 6, 'price_per_day': 18, 'rental_start': '8/15/17', 'rental_end': '4/10/17', 'total_days': -127, 'total_price': -2286} square of the total price
2020-05-04 09:40:26,103 charges_calc.py:73  WARNING Invalid end date of 2017-11-22 00:00:00 found in record RNT522
2020-05-04 09:40:26,103 charges_calc.py:82  WARNING Value Error on record RNT522, value {'product_code': 'PRD85', 'units_rented': 8, 'price_per_day': 15, 'rental_start': '5/10/18', 'rental_end': '11/22/17', 'total_days': -169, 'total_price': -2535} square of the total price
2020-05-04 09:40:26,104 charges_calc.py:73  WARNING Invalid end date of 2018-03-22 00:00:00 found in record RNT524
2020-05-04 09:40:26,104 charges_calc.py:82  WARNING Value Error on record RNT524, value {'product_code': 'PRD63', 'units_rented': 1, 'price_per_day': 37, 'rental_start': '7/29/18', 'rental_end': '3/22/18', 'total_days': -129, 'total_price': -4773} square of the total price
2020-05-04 09:40:26,105 charges_calc.py:73  WARNING Invalid end date of 2017-10-26 00:00:00 found in record RNT525
2020-05-04 09:40:26,105 charges_calc.py:82  WARNING Value Error on record RNT525, value {'product_code': 'PRD86', 'units_rented': 7, 'price_per_day': 34, 'rental_start': '2/18/18', 'rental_end': '10/26/17', 'total_days': -115, 'total_price': -3910} square of the total price
2020-05-04 09:40:26,106 charges_calc.py:73  WARNING Invalid end date of 2016-02-06 00:00:00 found in record RNT528
2020-05-04 09:40:26,107 charges_calc.py:82  WARNING Value Error on record RNT528, value {'product_code': 'PRD59', 'units_rented': 4, 'price_per_day': 28, 'rental_start': '5/30/18', 'rental_end': '2/6/16', 'total_days': -844, 'total_price': -23632} square of the total price
2020-05-04 09:40:26,108 charges_calc.py:73  WARNING Invalid end date of 2017-10-30 00:00:00 found in record RNT532
2020-05-04 09:40:26,109 charges_calc.py:82  WARNING Value Error on record RNT532, value {'product_code': 'PRD81', 'units_rented': 10, 'price_per_day': 34, 'rental_start': '12/7/18', 'rental_end': '10/30/17', 'total_days': -403, 'total_price': -13702} square of the total price
2020-05-04 09:40:26,109 charges_calc.py:73  WARNING Invalid end date of 2016-12-28 00:00:00 found in record RNT533
2020-05-04 09:40:26,109 charges_calc.py:82  WARNING Value Error on record RNT533, value {'product_code': 'PRD66', 'units_rented': 1, 'price_per_day': 14, 'rental_start': '3/29/18', 'rental_end': '12/28/16', 'total_days': -456, 'total_price': -6384} square of the total price
2020-05-04 09:40:26,110 charges_calc.py:73  WARNING Invalid end date of 2016-11-22 00:00:00 found in record RNT535
2020-05-04 09:40:26,110 charges_calc.py:82  WARNING Value Error on record RNT535, value {'product_code': 'PRD79', 'units_rented': 7, 'price_per_day': 26, 'rental_start': '6/5/18', 'rental_end': '11/22/16', 'total_days': -560, 'total_price': -14560} square of the total price
2020-05-04 09:40:26,111 charges_calc.py:73  WARNING Invalid end date of 2018-07-03 00:00:00 found in record RNT536
2020-05-04 09:40:26,111 charges_calc.py:82  WARNING Value Error on record RNT536, value {'product_code': 'PRD94', 'units_rented': 6, 'price_per_day': 39, 'rental_start': '12/29/18', 'rental_end': '7/3/18', 'total_days': -179, 'total_price': -6981} square of the total price
2020-05-04 09:40:26,111 charges_calc.py:73  WARNING Invalid end date of 2016-08-29 00:00:00 found in record RNT537
2020-05-04 09:40:26,112 charges_calc.py:82  WARNING Value Error on record RNT537, value {'product_code': 'PRD71', 'units_rented': 1, 'price_per_day': 36, 'rental_start': '6/30/17', 'rental_end': '8/29/16', 'total_days': -305, 'total_price': -10980} square of the total price
2020-05-04 09:40:26,112 charges_calc.py:73  WARNING Invalid end date of 2016-02-22 00:00:00 found in record RNT538
2020-05-04 09:40:26,113 charges_calc.py:82  WARNING Value Error on record RNT538, value {'product_code': 'PRD5', 'units_rented': 10, 'price_per_day': 34, 'rental_start': '11/24/16', 'rental_end': '2/22/16', 'total_days': -276, 'total_price': -9384} square of the total price
2020-05-04 09:40:26,113 charges_calc.py:73  WARNING Invalid end date of 2016-07-03 00:00:00 found in record RNT539
2020-05-04 09:40:26,114 charges_calc.py:82  WARNING Value Error on record RNT539, value {'product_code': 'PRD74', 'units_rented': 8, 'price_per_day': 23, 'rental_start': '7/28/17', 'rental_end': '7/3/16', 'total_days': -390, 'total_price': -8970} square of the total price
2020-05-04 09:40:26,114 charges_calc.py:73  WARNING Invalid end date of 2016-05-05 00:00:00 found in record RNT541
2020-05-04 09:40:26,114 charges_calc.py:82  WARNING Value Error on record RNT541, value {'product_code': 'PRD54', 'units_rented': 7, 'price_per_day': 20, 'rental_start': '8/12/18', 'rental_end': '5/5/16', 'total_days': -829, 'total_price': -16580} square of the total price
2020-05-04 09:40:26,115 charges_calc.py:73  WARNING Invalid end date of 2017-06-19 00:00:00 found in record RNT544
2020-05-04 09:40:26,115 charges_calc.py:82  WARNING Value Error on record RNT544, value {'product_code': 'PRD53', 'units_rented': 2, 'price_per_day': 14, 'rental_start': '1/9/18', 'rental_end': '6/19/17', 'total_days': -204, 'total_price': -2856} square of the total price
2020-05-04 09:40:26,116 charges_calc.py:73  WARNING Invalid end date of 2017-09-27 00:00:00 found in record RNT545
2020-05-04 09:40:26,119 charges_calc.py:82  WARNING Value Error on record RNT545, value {'product_code': 'PRD66', 'units_rented': 4, 'price_per_day': 27, 'rental_start': '11/8/18', 'rental_end': '9/27/17', 'total_days': -407, 'total_price': -10989} square of the total price
2020-05-04 09:40:26,119 charges_calc.py:73  WARNING Invalid end date of 2016-06-16 00:00:00 found in record RNT546
2020-05-04 09:40:26,120 charges_calc.py:82  WARNING Value Error on record RNT546, value {'product_code': 'PRD81', 'units_rented': 9, 'price_per_day': 37, 'rental_start': '11/10/16', 'rental_end': '6/16/16', 'total_days': -147, 'total_price': -5439} square of the total price
2020-05-04 09:40:26,120 charges_calc.py:73  WARNING Invalid end date of 2017-10-20 00:00:00 found in record RNT548
2020-05-04 09:40:26,121 charges_calc.py:82  WARNING Value Error on record RNT548, value {'product_code': 'PRD58', 'units_rented': 2, 'price_per_day': 39, 'rental_start': '10/27/18', 'rental_end': '10/20/17', 'total_days': -372, 'total_price': -14508} square of the total price
2020-05-04 09:40:26,122 charges_calc.py:73  WARNING Invalid end date of 2016-05-30 00:00:00 found in record RNT550
2020-05-04 09:40:26,122 charges_calc.py:82  WARNING Value Error on record RNT550, value {'product_code': 'PRD40', 'units_rented': 7, 'price_per_day': 39, 'rental_start': '9/5/17', 'rental_end': '5/30/16', 'total_days': -463, 'total_price': -18057} square of the total price
2020-05-04 09:40:26,123 charges_calc.py:73  WARNING Invalid end date of 2017-08-08 00:00:00 found in record RNT551
2020-05-04 09:40:26,123 charges_calc.py:82  WARNING Value Error on record RNT551, value {'product_code': 'PRD34', 'units_rented': 9, 'price_per_day': 10, 'rental_start': '6/24/18', 'rental_end': '8/8/17', 'total_days': -320, 'total_price': -3200} square of the total price
2020-05-04 09:40:26,123 charges_calc.py:73  WARNING Invalid end date of 2017-04-15 00:00:00 found in record RNT555
2020-05-04 09:40:26,124 charges_calc.py:82  WARNING Value Error on record RNT555, value {'product_code': 'PRD42', 'units_rented': 10, 'price_per_day': 40, 'rental_start': '6/15/17', 'rental_end': '4/15/17', 'total_days': -61, 'total_price': -2440} square of the total price
2020-05-04 09:40:26,124 charges_calc.py:73  WARNING Invalid end date of 2018-06-10 00:00:00 found in record RNT558
2020-05-04 09:40:26,125 charges_calc.py:82  WARNING Value Error on record RNT558, value {'product_code': 'PRD45', 'units_rented': 8, 'price_per_day': 28, 'rental_start': '9/24/18', 'rental_end': '6/10/18', 'total_days': -106, 'total_price': -2968} square of the total price
2020-05-04 09:40:26,125 charges_calc.py:73  WARNING Invalid end date of 2016-05-15 00:00:00 found in record RNT561
2020-05-04 09:40:26,126 charges_calc.py:82  WARNING Value Error on record RNT561, value {'product_code': 'PRD35', 'units_rented': 1, 'price_per_day': 30, 'rental_start': '7/14/18', 'rental_end': '5/15/16', 'total_days': -790, 'total_price': -23700} square of the total price
2020-05-04 09:40:26,126 charges_calc.py:73  WARNING Invalid end date of 2018-08-14 00:00:00 found in record RNT562
2020-05-04 09:40:26,126 charges_calc.py:82  WARNING Value Error on record RNT562, value {'product_code': 'PRD9', 'units_rented': 7, 'price_per_day': 32, 'rental_start': '11/18/18', 'rental_end': '8/14/18', 'total_days': -96, 'total_price': -3072} square of the total price
2020-05-04 09:40:26,128 charges_calc.py:73  WARNING Invalid end date of 2016-02-27 00:00:00 found in record RNT566
2020-05-04 09:40:26,129 charges_calc.py:82  WARNING Value Error on record RNT566, value {'product_code': 'PRD3', 'units_rented': 3, 'price_per_day': 33, 'rental_start': '11/25/18', 'rental_end': '2/27/16', 'total_days': -1002, 'total_price': -33066} square of the total price
2020-05-04 09:40:26,129 charges_calc.py:73  WARNING Invalid end date of 2018-05-30 00:00:00 found in record RNT569
2020-05-04 09:40:26,129 charges_calc.py:82  WARNING Value Error on record RNT569, value {'product_code': 'PRD43', 'units_rented': 8, 'price_per_day': 37, 'rental_start': '10/1/18', 'rental_end': '5/30/18', 'total_days': -124, 'total_price': -4588} square of the total price
2020-05-04 09:40:26,130 charges_calc.py:73  WARNING Invalid end date of 2017-07-13 00:00:00 found in record RNT570
2020-05-04 09:40:26,130 charges_calc.py:82  WARNING Value Error on record RNT570, value {'product_code': 'PRD7', 'units_rented': 4, 'price_per_day': 38, 'rental_start': '11/21/17', 'rental_end': '7/13/17', 'total_days': -131, 'total_price': -4978} square of the total price
2020-05-04 09:40:26,131 charges_calc.py:73  WARNING Invalid end date of 2016-08-07 00:00:00 found in record RNT572
2020-05-04 09:40:26,131 charges_calc.py:82  WARNING Value Error on record RNT572, value {'product_code': 'PRD38', 'units_rented': 9, 'price_per_day': 10, 'rental_start': '10/13/18', 'rental_end': '8/7/16', 'total_days': -797, 'total_price': -7970} square of the total price
2020-05-04 09:40:26,132 charges_calc.py:73  WARNING Invalid end date of 2017-01-22 00:00:00 found in record RNT575
2020-05-04 09:40:26,132 charges_calc.py:82  WARNING Value Error on record RNT575, value {'product_code': 'PRD91', 'units_rented': 9, 'price_per_day': 12, 'rental_start': '8/1/17', 'rental_end': '1/22/17', 'total_days': -191, 'total_price': -2292} square of the total price
2020-05-04 09:40:26,133 charges_calc.py:73  WARNING Invalid end date of 2017-04-24 00:00:00 found in record RNT580
2020-05-04 09:40:26,133 charges_calc.py:82  WARNING Value Error on record RNT580, value {'product_code': 'PRD81', 'units_rented': 9, 'price_per_day': 25, 'rental_start': '7/2/18', 'rental_end': '4/24/17', 'total_days': -434, 'total_price': -10850} square of the total price
2020-05-04 09:40:26,134 charges_calc.py:73  WARNING Invalid end date of 2017-04-28 00:00:00 found in record RNT582
2020-05-04 09:40:26,134 charges_calc.py:82  WARNING Value Error on record RNT582, value {'product_code': 'PRD10', 'units_rented': 4, 'price_per_day': 35, 'rental_start': '5/2/17', 'rental_end': '4/28/17', 'total_days': -4, 'total_price': -140} square of the total price
2020-05-04 09:40:26,135 charges_calc.py:73  WARNING Invalid end date of 2016-01-15 00:00:00 found in record RNT585
2020-05-04 09:40:26,135 charges_calc.py:82  WARNING Value Error on record RNT585, value {'product_code': 'PRD75', 'units_rented': 1, 'price_per_day': 16, 'rental_start': '2/9/18', 'rental_end': '1/15/16', 'total_days': -756, 'total_price': -12096} square of the total price
2020-05-04 09:40:26,136 charges_calc.py:73  WARNING Invalid end date of 2016-07-05 00:00:00 found in record RNT586
2020-05-04 09:40:26,136 charges_calc.py:82  WARNING Value Error on record RNT586, value {'product_code': 'PRD73', 'units_rented': 4, 'price_per_day': 27, 'rental_start': '1/27/17', 'rental_end': '7/5/16', 'total_days': -206, 'total_price': -5562} square of the total price
2020-05-04 09:40:26,136 charges_calc.py:73  WARNING Invalid end date of 2017-03-20 00:00:00 found in record RNT587
2020-05-04 09:40:26,138 charges_calc.py:82  WARNING Value Error on record RNT587, value {'product_code': 'PRD63', 'units_rented': 3, 'price_per_day': 27, 'rental_start': '5/1/18', 'rental_end': '3/20/17', 'total_days': -407, 'total_price': -10989} square of the total price
2020-05-04 09:40:26,139 charges_calc.py:73  WARNING Invalid end date of 2017-06-26 00:00:00 found in record RNT590
2020-05-04 09:40:26,140 charges_calc.py:82  WARNING Value Error on record RNT590, value {'product_code': 'PRD67', 'units_rented': 7, 'price_per_day': 40, 'rental_start': '12/23/18', 'rental_end': '6/26/17', 'total_days': -545, 'total_price': -21800} square of the total price
2020-05-04 09:40:26,140 charges_calc.py:73  WARNING Invalid end date of 2018-03-21 00:00:00 found in record RNT591
2020-05-04 09:40:26,140 charges_calc.py:82  WARNING Value Error on record RNT591, value {'product_code': 'PRD73', 'units_rented': 4, 'price_per_day': 22, 'rental_start': '6/2/18', 'rental_end': '3/21/18', 'total_days': -73, 'total_price': -1606} square of the total price
2020-05-04 09:40:26,141 charges_calc.py:73  WARNING Invalid end date of 2016-05-04 00:00:00 found in record RNT592
2020-05-04 09:40:26,141 charges_calc.py:82  WARNING Value Error on record RNT592, value {'product_code': 'PRD1', 'units_rented': 4, 'price_per_day': 21, 'rental_start': '8/26/16', 'rental_end': '5/4/16', 'total_days': -114, 'total_price': -2394} square of the total price
2020-05-04 09:40:26,142 charges_calc.py:73  WARNING Invalid end date of 2016-09-23 00:00:00 found in record RNT593
2020-05-04 09:40:26,143 charges_calc.py:82  WARNING Value Error on record RNT593, value {'product_code': 'PRD69', 'units_rented': 1, 'price_per_day': 37, 'rental_start': '11/26/16', 'rental_end': '9/23/16', 'total_days': -64, 'total_price': -2368} square of the total price
2020-05-04 09:40:26,143 charges_calc.py:73  WARNING Invalid end date of 2016-01-02 00:00:00 found in record RNT595
2020-05-04 09:40:26,144 charges_calc.py:82  WARNING Value Error on record RNT595, value {'product_code': 'PRD24', 'units_rented': 5, 'price_per_day': 32, 'rental_start': '2/23/17', 'rental_end': '1/2/16', 'total_days': -418, 'total_price': -13376} square of the total price
2020-05-04 09:40:26,144 charges_calc.py:73  WARNING Invalid end date of 2017-02-21 00:00:00 found in record RNT597
2020-05-04 09:40:26,144 charges_calc.py:82  WARNING Value Error on record RNT597, value {'product_code': 'PRD45', 'units_rented': 7, 'price_per_day': 37, 'rental_start': '10/29/18', 'rental_end': '2/21/17', 'total_days': -615, 'total_price': -22755} square of the total price
2020-05-04 09:40:26,145 charges_calc.py:73  WARNING Invalid end date of 2016-08-29 00:00:00 found in record RNT598
2020-05-04 09:40:26,145 charges_calc.py:82  WARNING Value Error on record RNT598, value {'product_code': 'PRD48', 'units_rented': 7, 'price_per_day': 9, 'rental_start': '3/2/18', 'rental_end': '8/29/16', 'total_days': -550, 'total_price': -4950} square of the total price
2020-05-04 09:40:26,146 charges_calc.py:73  WARNING Invalid end date of 2016-02-12 00:00:00 found in record RNT599
2020-05-04 09:40:26,146 charges_calc.py:82  WARNING Value Error on record RNT599, value {'product_code': 'PRD87', 'units_rented': 8, 'price_per_day': 21, 'rental_start': '6/17/18', 'rental_end': '2/12/16', 'total_days': -856, 'total_price': -17976} square of the total price
2020-05-04 09:40:26,148 charges_calc.py:73  WARNING Invalid end date of 2017-01-12 00:00:00 found in record RNT601
2020-05-04 09:40:26,148 charges_calc.py:82  WARNING Value Error on record RNT601, value {'product_code': 'PRD71', 'units_rented': 5, 'price_per_day': 32, 'rental_start': '6/12/17', 'rental_end': '1/12/17', 'total_days': -151, 'total_price': -4832} square of the total price
2020-05-04 09:40:26,149 charges_calc.py:73  WARNING Invalid end date of 2016-04-12 00:00:00 found in record RNT602
2020-05-04 09:40:26,149 charges_calc.py:82  WARNING Value Error on record RNT602, value {'product_code': 'PRD24', 'units_rented': 8, 'price_per_day': 31, 'rental_start': '10/10/16', 'rental_end': '4/12/16', 'total_days': -181, 'total_price': -5611} square of the total price
2020-05-04 09:40:26,150 charges_calc.py:73  WARNING Invalid end date of 2016-02-07 00:00:00 found in record RNT603
2020-05-04 09:40:26,150 charges_calc.py:82  WARNING Value Error on record RNT603, value {'product_code': 'PRD65', 'units_rented': 1, 'price_per_day': 9, 'rental_start': '9/17/17', 'rental_end': '2/7/16', 'total_days': -588, 'total_price': -5292} square of the total price
2020-05-04 09:40:26,151 charges_calc.py:73  WARNING Invalid end date of 2016-07-06 00:00:00 found in record RNT604
2020-05-04 09:40:26,151 charges_calc.py:82  WARNING Value Error on record RNT604, value {'product_code': 'PRD72', 'units_rented': 6, 'price_per_day': 6, 'rental_start': '7/14/17', 'rental_end': '7/6/16', 'total_days': -373, 'total_price': -2238} square of the total price
2020-05-04 09:40:26,152 charges_calc.py:73  WARNING Invalid end date of 2016-09-06 00:00:00 found in record RNT605
2020-05-04 09:40:26,152 charges_calc.py:82  WARNING Value Error on record RNT605, value {'product_code': 'PRD48', 'units_rented': 7, 'price_per_day': 33, 'rental_start': '11/4/17', 'rental_end': '9/6/16', 'total_days': -424, 'total_price': -13992} square of the total price
2020-05-04 09:40:26,153 charges_calc.py:73  WARNING Invalid end date of 2016-05-31 00:00:00 found in record RNT606
2020-05-04 09:40:26,153 charges_calc.py:82  WARNING Value Error on record RNT606, value {'product_code': 'PRD61', 'units_rented': 10, 'price_per_day': 39, 'rental_start': '10/21/18', 'rental_end': '5/31/16', 'total_days': -873, 'total_price': -34047} square of the total price
2020-05-04 09:40:26,153 charges_calc.py:73  WARNING Invalid end date of 2018-01-30 00:00:00 found in record RNT611
2020-05-04 09:40:26,154 charges_calc.py:82  WARNING Value Error on record RNT611, value {'product_code': 'PRD97', 'units_rented': 4, 'price_per_day': 33, 'rental_start': '3/5/18', 'rental_end': '1/30/18', 'total_days': -34, 'total_price': -1122} square of the total price
2020-05-04 09:40:26,154 charges_calc.py:73  WARNING Invalid end date of 2018-01-17 00:00:00 found in record RNT613
2020-05-04 09:40:26,155 charges_calc.py:82  WARNING Value Error on record RNT613, value {'product_code': 'PRD99', 'units_rented': 10, 'price_per_day': 10, 'rental_start': '10/4/18', 'rental_end': '1/17/18', 'total_days': -260, 'total_price': -2600} square of the total price
2020-05-04 09:40:26,155 charges_calc.py:73  WARNING Invalid end date of 2017-06-29 00:00:00 found in record RNT615
2020-05-04 09:40:26,156 charges_calc.py:82  WARNING Value Error on record RNT615, value {'product_code': 'PRD29', 'units_rented': 4, 'price_per_day': 40, 'rental_start': '9/30/17', 'rental_end': '6/29/17', 'total_days': -93, 'total_price': -3720} square of the total price
2020-05-04 09:40:26,158 charges_calc.py:73  WARNING Invalid end date of 2016-04-18 00:00:00 found in record RNT622
2020-05-04 09:40:26,159 charges_calc.py:82  WARNING Value Error on record RNT622, value {'product_code': 'PRD40', 'units_rented': 3, 'price_per_day': 32, 'rental_start': '8/22/16', 'rental_end': '4/18/16', 'total_days': -126, 'total_price': -4032} square of the total price
2020-05-04 09:40:26,159 charges_calc.py:73  WARNING Invalid end date of 2017-08-01 00:00:00 found in record RNT626
2020-05-04 09:40:26,160 charges_calc.py:82  WARNING Value Error on record RNT626, value {'product_code': 'PRD11', 'units_rented': 9, 'price_per_day': 32, 'rental_start': '7/22/18', 'rental_end': '8/1/17', 'total_days': -355, 'total_price': -11360} square of the total price
2020-05-04 09:40:26,160 charges_calc.py:73  WARNING Invalid end date of 2016-09-15 00:00:00 found in record RNT630
2020-05-04 09:40:26,161 charges_calc.py:82  WARNING Value Error on record RNT630, value {'product_code': 'PRD68', 'units_rented': 6, 'price_per_day': 37, 'rental_start': '11/27/16', 'rental_end': '9/15/16', 'total_days': -73, 'total_price': -2701} square of the total price
2020-05-04 09:40:26,161 charges_calc.py:73  WARNING Invalid end date of 2016-01-07 00:00:00 found in record RNT632
2020-05-04 09:40:26,162 charges_calc.py:82  WARNING Value Error on record RNT632, value {'product_code': 'PRD45', 'units_rented': 7, 'price_per_day': 18, 'rental_start': '1/13/16', 'rental_end': '1/7/16', 'total_days': -6, 'total_price': -108} square of the total price
2020-05-04 09:40:26,162 charges_calc.py:73  WARNING Invalid end date of 2018-02-01 00:00:00 found in record RNT633
2020-05-04 09:40:26,162 charges_calc.py:82  WARNING Value Error on record RNT633, value {'product_code': 'PRD54', 'units_rented': 9, 'price_per_day': 6, 'rental_start': '7/9/18', 'rental_end': '2/1/18', 'total_days': -158, 'total_price': -948} square of the total price
2020-05-04 09:40:26,163 charges_calc.py:73  WARNING Invalid end date of 2018-08-07 00:00:00 found in record RNT634
2020-05-04 09:40:26,163 charges_calc.py:82  WARNING Value Error on record RNT634, value {'product_code': 'PRD99', 'units_rented': 9, 'price_per_day': 14, 'rental_start': '9/16/18', 'rental_end': '8/7/18', 'total_days': -40, 'total_price': -560} square of the total price
2020-05-04 09:40:26,164 charges_calc.py:73  WARNING Invalid end date of 2017-09-15 00:00:00 found in record RNT636
2020-05-04 09:40:26,164 charges_calc.py:82  WARNING Value Error on record RNT636, value {'product_code': 'PRD81', 'units_rented': 7, 'price_per_day': 38, 'rental_start': '11/2/18', 'rental_end': '9/15/17', 'total_days': -413, 'total_price': -15694} square of the total price
2020-05-04 09:40:26,165 charges_calc.py:73  WARNING Invalid end date of 2016-03-20 00:00:00 found in record RNT638
2020-05-04 09:40:26,165 charges_calc.py:82  WARNING Value Error on record RNT638, value {'product_code': 'PRD15', 'units_rented': 9, 'price_per_day': 17, 'rental_start': '2/24/17', 'rental_end': '3/20/16', 'total_days': -341, 'total_price': -5797} square of the total price
2020-05-04 09:40:26,165 charges_calc.py:73  WARNING Invalid end date of 2017-09-10 00:00:00 found in record RNT639
2020-05-04 09:40:26,166 charges_calc.py:82  WARNING Value Error on record RNT639, value {'product_code': 'PRD47', 'units_rented': 5, 'price_per_day': 23, 'rental_start': '12/9/18', 'rental_end': '9/10/17', 'total_days': -455, 'total_price': -10465} square of the total price
2020-05-04 09:40:26,166 charges_calc.py:73  WARNING Invalid end date of 2016-04-29 00:00:00 found in record RNT640
2020-05-04 09:40:26,168 charges_calc.py:82  WARNING Value Error on record RNT640, value {'product_code': 'PRD35', 'units_rented': 6, 'price_per_day': 5, 'rental_start': '9/9/17', 'rental_end': '4/29/16', 'total_days': -498, 'total_price': -2490} square of the total price
2020-05-04 09:40:26,169 charges_calc.py:73  WARNING Invalid end date of 2016-07-03 00:00:00 found in record RNT642
2020-05-04 09:40:26,169 charges_calc.py:82  WARNING Value Error on record RNT642, value {'product_code': 'PRD14', 'units_rented': 8, 'price_per_day': 28, 'rental_start': '7/25/16', 'rental_end': '7/3/16', 'total_days': -22, 'total_price': -616} square of the total price
2020-05-04 09:40:26,170 charges_calc.py:73  WARNING Invalid end date of 2016-02-13 00:00:00 found in record RNT643
2020-05-04 09:40:26,170 charges_calc.py:82  WARNING Value Error on record RNT643, value {'product_code': 'PRD59', 'units_rented': 7, 'price_per_day': 32, 'rental_start': '10/20/18', 'rental_end': '2/13/16', 'total_days': -980, 'total_price': -31360} square of the total price
2020-05-04 09:40:26,171 charges_calc.py:73  WARNING Invalid end date of 2016-09-08 00:00:00 found in record RNT647
2020-05-04 09:40:26,171 charges_calc.py:82  WARNING Value Error on record RNT647, value {'product_code': 'PRD8', 'units_rented': 2, 'price_per_day': 7, 'rental_start': '4/5/17', 'rental_end': '9/8/16', 'total_days': -209, 'total_price': -1463} square of the total price
2020-05-04 09:40:26,172 charges_calc.py:73  WARNING Invalid end date of 2017-06-26 00:00:00 found in record RNT648
2020-05-04 09:40:26,172 charges_calc.py:82  WARNING Value Error on record RNT648, value {'product_code': 'PRD53', 'units_rented': 4, 'price_per_day': 11, 'rental_start': '7/19/18', 'rental_end': '6/26/17', 'total_days': -388, 'total_price': -4268} square of the total price
2020-05-04 09:40:26,173 charges_calc.py:73  WARNING Invalid end date of 2017-11-16 00:00:00 found in record RNT649
2020-05-04 09:40:26,173 charges_calc.py:82  WARNING Value Error on record RNT649, value {'product_code': 'PRD64', 'units_rented': 9, 'price_per_day': 37, 'rental_start': '7/17/18', 'rental_end': '11/16/17', 'total_days': -243, 'total_price': -8991} square of the total price
2020-05-04 09:40:26,174 charges_calc.py:73  WARNING Invalid end date of 2016-01-27 00:00:00 found in record RNT651
2020-05-04 09:40:26,174 charges_calc.py:82  WARNING Value Error on record RNT651, value {'product_code': 'PRD94', 'units_rented': 6, 'price_per_day': 5, 'rental_start': '9/13/18', 'rental_end': '1/27/16', 'total_days': -960, 'total_price': -4800} square of the total price
2020-05-04 09:40:26,175 charges_calc.py:73  WARNING Invalid end date of 2017-03-25 00:00:00 found in record RNT653
2020-05-04 09:40:26,175 charges_calc.py:82  WARNING Value Error on record RNT653, value {'product_code': 'PRD54', 'units_rented': 10, 'price_per_day': 12, 'rental_start': '8/22/17', 'rental_end': '3/25/17', 'total_days': -150, 'total_price': -1800} square of the total price
2020-05-04 09:40:26,175 charges_calc.py:73  WARNING Invalid end date of 2016-07-04 00:00:00 found in record RNT656
